,avg_outgoing_incoming_ratio,bin_00_03,bin_03_06,bin_06_09,bin_09_12,bin_12_15,bin_15_18,bin_18_21,bin_21_00,consecutive_in_tx_score,consecutive_out_tx_score,first_outgoing_tx,first_tx,incoming_tx_freq_mean,incoming_tx_freq_median,incoming_tx_freq_std,incoming_tx_max_fee,incoming_tx_mean_fee,incoming_tx_value_mean,incoming_tx_value_median,incoming_tx_value_std,lifetime,num_close_peers,num_incoming_peers,num_outgoing_peers,obtain_spent_ratio,outgoing_tx_freq_mean,outgoing_tx_freq_median,outgoing_tx_freq_std,outgoing_tx_max_fee,outgoing_tx_mean_fee,outgoing_tx_value_mean,outgoing_tx_value_median,outgoing_tx_value_std,receive_percentage,total_received_amount,total_txes,tx_freq_mean,tx_freq_median,tx_freq_std,n_common_close,n_common_incoming,n_common_outgoing,n_from_a_to_b,n_from_b_to_a,n_common_fallback,label
43,0.21738467098248482,0.09599999999999997,0.333,0.0,0.11899999999999997,0.286,0.0,0.0,0.167,0.1535087719298246,0.04093567251461988,14385259.0,14386962.0,845.9050694444445,774.0366666666666,560.8658751960413,119.61686999999998,81.30612003756124,44.29057127623335,88.94809753809999,119.77022981403076,2879.338055555556,0.0,1.0,1.0,0.3265644222099242,349360.76923076925,167243.0,1116636.1522598169,85.051120719744,20.475921987822183,6.795340940773812,54.40480880001262,83.31584472059993,0.13684210526315793,87.90793321880005,4.0,143.91830026455028,0.028055555555596398,343.5415390713414,0.0,2.0,2.0,0.0,0.0,4.0,1
45,0.0,0.062,0.20800000000000002,0.125,0.47900000000000004,0.188,0.312,0.0,0.0,0.0,0.0,1989786.0,1989838.0,251.34967592592596,199.25680555555584,211.7015252456972,23.57610171,3.6603921701915922,11.669778488337915,7.432335750000001,20.256187931220353,6620.916111111111,0.0,0.0,0.0,0.0,904869.3,717344.5,762168.545777718,85.89384675,11.669778488337915,0.0,0.0,0.0,0.0,205.59033031340667,26.0,140.00283154121863,0.019999999999737297,185.2725932674311,0.0,1.0,1.0,0.0,0.0,2.0,1
48,0.018229976356572974,0.167,0.006000000000000005,0.006000000000000005,0.17900000000000002,0.308,0.22499999999999998,0.006000000000000005,0.167,0.0034782608695653194,0.0017391304347825765,12837910.0,12837853.0,1366.8335025252522,912.0140277777782,1530.8330841988716,4.1736105,1.6367493774422481,1473.5211826030304,707.9678228,1521.0529134856438,13365.633611111112,0.0,3.0,0.0,0.012784914610771025,4465013.984848485,2420208.5,5416726.961815897,8.07666678,1.333581152076923,1351.978480885564,550.833992922,1442.3898011355136,0.0017391304347825765,16066.277351000002,2.0,620.142396885522,134.4756944444443,1209.6376968665538,0.0,1.0,1.0,0.0,0.0,2.0,1
49,0.4278995890914854,0.012999999999999956,0.10399999999999998,0.091,0.273,0.05199999999999999,0.286,0.091,0.0,0.23632478632478632,0.1461538461538462,15548417.0,15548506.0,234.6862500000002,234.6862500000002,1842.948194444444,1.6624652,0.8221300283333333,828.2099208333334,3.0811875,1431.7800504865352,3869.0666666666666,0.0,1.0,1.0,0.9984323745467992,3245070.566666667,1288164.0,3582858.753833963,1.3385367520493818,0.3470378179774977,354.6504679953573,0.0,938.3169406683872,0.1461538461538462,2485.236875,3.0,536.7969521604938,197.88041666666652,902.2596386924047,0.0,1.0,1.0,0.0,0.0,2.0,1
50,0.216865374038275,0.286,0.0,0.0,0.19000000000000003,0.19000000000000003,0.143,0.0,0.04700000000000004,0.03532608695652181,0.07608695652173908,17645342.0,17645884.0,586.7564583333332,129.27777777777715,1101.9298640445584,0.2592185399999991,2.1713564250000004,11.137334072222224,13.355011150000003,3.3247082531472554,3061.0355555555557,0.0,0.0,0.0,1.0563949531195198,26877.076923076995,109.0,691311.9870272321,7.299639000000003,7.4262566409523805,9.915426190036193,6.240047200545,14.871831665429202,0.14130434782608697,118.82020799999998,15.0,40.130689033189014,0.1205555555557536,93.39731321393799,1.0,0.0,1.0,0.0,0.0,2.0,1
51,0.0,0.0,0.0,0.214,0.0,0.071,0.0,0.714,0.429,0.1597222222222222,0.16666666666666669,34.0,35.0,48.76651234567901,0.0097222222222512,69.59844363315602,0.010524780000000001,0.0036581411890197002,0.016405640995387,0.012242557905,0.013093431381131601,504.01694444444445,0.0,0.0,0.0,0.0,139574.0,56.0,222577.34102346745,0.014573339159999999,0.004571514160428499,0.0,0.0,0.0,0.08333333333333331,0.3739855049538706,20.0,21.91369967793881,0.0049999999999954,50.29632616682129,0.0,1.0,1.0,0.0,0.0,2.0,1
52,0.06317259806593956,0.0,0.0,0.061,0.05299999999999999,0.05199999999999999,0.09099999999999998,0.09100000000000001,0.045,0.028895274584929853,0.0186411010764459,8110615.0,8114618.0,3.7756764928193505,1.421944444444506,10.234225337700117,0.10429695000000011,0.006633767059663696,1.423828891548899,1.6664572517764764,0.41805515366077173,1433.033888888889,0.0,0.0,0.0,0.0328934987465721,10784.809938096034,1336.0,12452.846819547798,0.058521329999999996,0.010436736488485497,1.8679876011450869,1.702760832082669,3.289007439783901,0.008141762452107293,620.6465407159799,201.0,1.6909524709865034,5.169583333333293,4.391399457823158,0.0,1.0,1.0,0.0,0.0,2.0,1
54,0.6892442303938863,0.08,0.091,0.33,0.182,0.136,0.01100000000000001,0.056999999999999995,0.068,0.17142857142857149,0.1071428571428572,1511414.0,3628856.0,908.936611111111,433.2358333333335,1291.8608709263674,0.006929579999999998,0.0094191156666666,0.2762858868333302,0.31839700144,0.18324714334056108,4517.895277777778,0.0,2.0,13.0,0.7726916834463262,754437.1428571427,141920.0,1679722.6166142311,0.04095554904,0.0041986290229847,0.26023498736363637,0.20128035,0.31944641090517195,0.2142857142857143,1.6577153209999809,14.0,129.806995093384,27.438333333333503,345.2665640386514,0.0,0.0,0.0,0.0,0.0,0.0,1
55,0.0666044422092058,0.0,0.143,0.42799999999999994,0.643,0.0,0.071,0.0,0.0,0.10494417862838912,0.1004784688995215,1390151.0,1389515.0,1664.6939120370369,18.83888888888889,2365.2990667039285,18.450565481346096,5.223650069336525,40.59562094411113,22.405918988199986,32.25245234840226,4842.876388888889,0.0,1.0,1.0,0.5841178047701452,3030175.858974359,483.5,6748624.369736766,0.5081910000000001,0.421129630162536,34.97111330198274,59.01778375296324,41.285753790444154,0.1004784688995215,84.64896347891158,8.0,501.42523148148155,0.030972222222236195,1506.1498848499225,0.0,0.0,3.0,0.0,0.0,3.0,1
56,0.09494309169986453,0.2,0.053,0.158,0.263,0.04200000000000001,0.18899999999999997,0.247,0.17400000000000002,0.0863636363636365,0.021060606060606002,5791154.0,5511645.0,255.04194637345677,0.052222222222269465,313.18411774971355,90.42194155432922,14.84817107117851,343.2228816927875,124.92924762919864,471.0214374986275,5366.262777777778,0.0,0.0,27.0,0.8256967956956576,53491.81081081077,335352.0,221901.46356757754,58.93254549085307,3.424332153811924,241.09858742315788,6.514113509999987,411.43292183642313,0.19090909090909092,8640.949521341667,35.0,47.41422298029025,38.353055555555656,79.65859947113823,0.0,2.0,0.0,0.0,0.0,2.0,1
